threshold,specificity,accuracy,precision,recall,f1score
0,0,0.05,0.05,1,0.0952381
0.01,0.0201579,0.06915,0.0509762,1,0.0970073
0.02,0.0392632,0.08725,0.051888,0.999,0.0986521
0.03,0.059,0.106,0.0529187,0.999,0.100513
0.04,0.0794737,0.12545,0.0540321,0.999,0.102519
0.05,0.0981579,0.14315,0.0550378,0.998,0.104322
0.06,0.114,0.1582,0.0559668,0.998,0.10599
0.07,0.134105,0.1773,0.057192,0.998,0.108184
0.08,0.154,0.1961,0.058348,0.996,0.110238
0.09,0.171421,0.21245,0.059277,0.992,0.111869
0.1,0.192211,0.2321,0.0605949,0.99,0.1142
0.11,0.210105,0.24905,0.0618241,0.989,0.116373
0.12,0.226789,0.2649,0.063074,0.989,0.118585
0.13,0.246211,0.28325,0.0644719,0.987,0.121037
0.14,0.262368,0.2985,0.0656667,0.985,0.123125
0.15,0.279158,0.3143,0.0669028,0.982,0.125271
0.16,0.298158,0.3322,0.0683946,0.979,0.127857
0.17,0.314211,0.3473,0.0696844,0.976,0.130081
0.18,0.330526,0.3625,0.0708546,0.97,0.132063
0.19,0.347632,0.37855,0.0723,0.966,0.134531
0.2,0.362316,0.3924,0.0737003,0.964,0.136932
0.21,0.378474,0.40765,0.0753269,0.962,0.139714
0.22,0.395579,0.4237,0.0769973,0.958,0.142538
0.23,0.413684,0.44065,0.0788059,0.953,0.145574
0.24,0.429,0.45495,0.0803594,0.948,0.14816
0.25,0.442842,0.4679,0.0818734,0.944,0.150678
0.26,0.456789,0.48075,0.0831483,0.936,0.152729
0.27,0.470316,0.4934,0.0847581,0.932,0.155385
0.28,0.485,0.507,0.0863679,0.925,0.157985
0.29,0.498789,0.52,0.0883592,0.923,0.161279
0.3,0.512211,0.5324,0.089945,0.916,0.163805
0.31,0.524632,0.54395,0.0916222,0.911,0.166499
0.32,0.538263,0.55655,0.0934174,0.904,0.169336
0.33,0.552105,0.56925,0.0951621,0.895,0.172033
0.34,0.565474,0.58165,0.0972116,0.889,0.175259
0.35,0.579316,0.59445,0.0993803,0.882,0.178633
0.36,0.592526,0.60665,0.101543,0.875,0.181969
0.37,0.605632,0.61845,0.103172,0.862,0.184286
0.38,0.618421,0.63025,0.10549,0.855,0.187809
0.39,0.629947,0.641,0.107968,0.851,0.191624
0.4,0.641789,0.6518,0.110094,0.842,0.194727
0.41,0.653895,0.66295,0.11267,0.835,0.19855
0.42,0.665789,0.6738,0.115106,0.826,0.202055
0.43,0.677789,0.6849,0.118122,0.82,0.206497
0.44,0.688895,0.69505,0.120779,0.812,0.210281
0.45,0.699579,0.70475,0.12333,0.803,0.21382
0.46,0.710263,0.7143,0.125635,0.791,0.216831
0.47,0.72,0.72305,0.128012,0.781,0.219969
0.48,0.730421,0.7323,0.13039,0.768,0.222932
0.49,0.740421,0.74145,0.133673,0.761,0.227402
0.5,0.750632,0.75085,0.137448,0.755,0.232558
0.51,0.760316,0.75975,0.141241,0.749,0.237665
0.52,0.770421,0.76865,0.144202,0.735,0.241102
0.53,0.779737,0.77675,0.146789,0.72,0.243861
0.54,0.789684,0.7857,0.150871,0.71,0.248861
0.55,0.799053,0.7939,0.154187,0.696,0.252448
0.56,0.808684,0.80265,0.159149,0.688,0.258501
0.57,0.817211,0.81045,0.16414,0.682,0.264597
0.58,0.826,0.8182,0.168511,0.67,0.269293
0.59,0.833842,0.82515,0.172911,0.66,0.274029
0.6,0.842158,0.8323,0.177003,0.645,0.277778
0.61,0.849789,0.8389,0.181297,0.632,0.281765
0.62,0.857,0.845,0.185063,0.617,0.284725
0.63,0.863947,0.8511,0.190163,0.607,0.289599
0.64,0.871526,0.8576,0.195452,0.593,0.294001
0.65,0.878947,0.86375,0.2,0.575,0.296774
0.66,0.886316,0.8702,0.207048,0.564,0.3029
0.67,0.892632,0.8754,0.211747,0.548,0.305463
0.68,0.899263,0.881,0.218137,0.534,0.309745
0.69,0.905947,0.88695,0.22741,0.526,0.317537
0.7,0.912211,0.89235,0.235914,0.515,0.323594
0.71,0.918263,0.89735,0.243546,0.5,0.327547
0.72,0.924316,0.9023,0.251821,0.484,0.33128
0.73,0.929105,0.90615,0.258668,0.47,0.333688
0.74,0.935053,0.91095,0.268524,0.453,0.337179
0.75,0.940368,0.9152,0.278344,0.437,0.340078
